step,mid_price,drl_profit,portfolio_value,drl_inventory,chosen_spread_width,epsilon,reward,egt_prop_aggressive,egt_prop_passive,egt_prop_random,egt_prop_momentum,rolling_avg_reward,egt_avg,drl_profit_change,egt_change
0,50.96940040588379,100001.10000000003,100001.10000000003,3,0.4,1.0,0.4741000000176369,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.4741000000176369,0.25,0.0,0.0
1,50.84219932556152,100001.91839675914,100001.91839675914,3,0.2,1.0,0.2820903183357148,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.37809515917667585,0.25,0.8183967591030523,0.0
2,50.79495048522949,100002.17665023817,100002.17665023817,-1,0.4,1.0,0.09801798213757394,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.28473610016364187,0.25,0.2582534790271893,0.0
3,50.87249946594238,100002.09910125745,100002.09910125745,-1,0.8,1.0,-0.0383622268203431,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.20396151841764565,0.25,-0.07754898071289062,0.0
4,51.0049991607666,100002.96660156267,100002.96660156267,-7,0.4,1.0,0.33268756308917774,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.22970672735195205,0.25,0.867500305219437,0.0
5,51.05674934387207,100002.88435028093,100002.88435028093,-8,0.4228571428571428,1.0,-0.0865768850784428,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.17699279194688625,0.25,-0.0822512817394454,0.0
6,50.9900016784668,100003.91833160417,100003.91833160417,-4,0.44500000000000006,1.0,0.4863604191233896,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.22118816725781532,0.25,1.0339813232421875,0.0
7,50.84499931335449,100005.39834106468,100005.39834106468,-5,0.2,1.0,0.6452044876062798,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.27419020730137333,0.25,1.4800094605016056,0.0
8,50.813249588012695,100006.05708969141,100006.05708969141,0,0.4,1.0,0.30066787870484457,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.27713217079064795,0.25,0.6587486267380882,0.0
9,50.78499984741211,100006.05708969141,100006.05708969141,0,0.8,1.0,0.002,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.24961895371158316,0.25,0.0,0.0
10,50.761749267578125,100006.8570896914,100006.8570896914,0,0.8,1.0,0.38759975772520777,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2621626631673672,0.25,0.7999999999883585,0.0
11,50.885000228881836,100007.65708969143,100007.65708969143,-4,0.4,1.0,0.33679972575138606,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2683824183827021,0.25,0.8000000000320142,0.0
12,50.864999771118164,100009.13709152253,100009.13709152253,-6,0.4,1.0,0.6500003581197694,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2977376445163227,0.25,1.4800018310925225,0.0
13,50.89119911193848,100009.21989547761,100009.21989547761,-7,0.4066666666666667,1.0,0.004895959491189052,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2768203813002417,0.25,0.08280395508336369,0.0
14,50.899898529052734,100009.15899955781,100009.15899955781,-7,0.8457142857142856,1.0,-0.058152411428788624,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.25448886178497304,0.25,-0.06089591979980469,0.0
15,50.852800369262695,100009.70297239063,100009.70297239063,-6,0.3542857142857143,1.0,0.24793460291321218,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.254079220605488,0.25,0.5439728328201454,0.0
16,50.81999969482422,100010.83310977055,100010.83310977055,-7,0.20333333333333334,1.0,0.4551854952956328,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2659090014696141,0.25,1.130137379921507,0.0
17,50.813249588012695,100011.2375033754,100011.2375033754,-2,0.49142857142857144,1.0,0.16853283714762204,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2604992145628368,0.25,0.4043936048547039,0.0
18,50.829999923706055,100012.00400270405,100012.00400270405,-6,0.4,1.0,0.30848173033732645,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2630246101299152,0.25,0.7664993286452955,0.0
19,50.87750053405762,100012.5789990419,100012.5789990419,-3,0.20333333333333334,1.0,0.20649280554155613,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.26019801990049723,0.25,0.5749963378475513,0.0
20,50.88999938964844,100012.94150247512,100012.94150247512,-4,0.8,1.0,0.16506400580912683,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.25566782875328914,0.25,0.3625034332217183,0.0
21,50.907100677490234,100013.37309732377,100013.37309732377,-5,0.4,1.0,0.17495511932876653,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2519990692339926,0.25,0.4315948486473644,0.0
22,50.92239952087402,100013.49660310685,100013.49660310685,-6,0.4,1.0,0.03257033788276241,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.24245868961002612,0.25,0.1235057830781443,0.0
23,50.915000915527344,100014.07766140556,100014.07766140556,-2,0.20333333333333334,1.0,0.24510738212309316,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.24256905179807056,0.25,0.581058298717835,0.0
24,50.97999954223633,100013.94766415215,100013.94766415215,-2,0.8,1.0,-0.067048521486088,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23018434886670425,0.25,-0.12999725341796875,0.0
25,50.92250061035156,100014.8626620159,100014.8626620159,0,0.8,1.0,0.4516732831825773,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23870315403269934,0.25,0.9149978637578897,0.0
26,50.92500114440918,100015.2626620159,100015.2626620159,-1,0.8,1.0,0.19359970278799335,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23703265583845098,0.25,0.39999999999417923,0.0
27,50.90999984741211,100016.17766331295,100016.17766331295,2,0.2,1.0,0.3664749568487568,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.24165559516024762,0.25,0.9150012970494572,0.0
28,50.90425109863281,100016.16616581539,100016.16616581539,2,0.8,1.0,-0.013206226968461923,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23286725646615417,0.25,-0.01149749755859375,0.0
29,50.889949798583984,100017.23756321536,100017.23756321536,-3,0.2,1.0,0.4286548211035965,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23939350862073558,0.25,1.0713973999663722,0.0
30,50.89775085449219,100017.61416004763,100017.61416004763,-3,0.4,1.0,0.1663810757714878,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23703826885140503,0.25,0.37659683226956986,0.0
31,50.99794960021973,100018.11356381048,100018.11356381048,-7,0.4,0.995,0.16639846048751367,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23483077484003342,0.25,0.499403762849397,0.0
32,51.03750038146973,100018.40527977033,100018.40527977033,-2,0.2114285714285714,0.990025,0.09205343843263186,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23050418888829396,0.25,0.2917159598582657,0.0
33,51.07500076293945,100019.13027900744,100019.13027900744,-6,0.2,0.985074875,0.2675239476711782,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2315930053230847,0.25,0.724999237107113,0.0
34,51.02750015258789,100019.66528266954,100019.66528266954,-3,0.44333333333333336,0.9801495006250001,0.24507633771729767,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23197824339149078,0.25,0.5350036620948231,0.0
35,51.043251037597656,100019.91803001452,100019.91803001452,0,0.4,0.9752487531218751,0.10923716075048644,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.22856876887368513,0.25,0.2527473449881654,0.0
36,51.09000015258789,100021.01803001459,100021.01803001459,-1,0.2,0.9703725093562657,0.4484989047588406,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23451282660031092,0.25,1.1000000000640284,0.0
37,51.12750053405762,100021.28052963314,100021.28052963314,2,0.4,0.9655206468094844,0.09576203156333188,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23086148988881147,0.25,0.26249961854773574,0.0
38,51.152549743652344,100022.03062805235,100022.03062805235,-1,0.4,0.960693043575437,0.33399890374912866,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2335060389621529,0.25,0.7500984192156466,0.0
39,51.107500076293945,100022.6756777197,100022.6756777197,0,0.4,0.9558895783575597,0.3019493716256197,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2352171222787396,0.25,0.6450496673496673,0.0
40,51.16499900817871,100022.8756777197,100022.8756777197,1,0.4,0.9511101304657719,0.08919977329316005,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.2316557235229938,0.25,0.19999999999708962,0.0
41,51.18000030517578,100023.49067901672,100023.49067901672,3,0.4,0.946354579813443,0.2581749517261126,0.014184515826414197,0.7230242720226465,0.248606696324525,0.014184515826414197,0.23228713371830612,0.25,0.615001297017443,0.0
