step,mid_price,drl_profit,portfolio_value,drl_inventory,chosen_spread_width,epsilon,reward,egt_prop_aggressive,egt_prop_passive,egt_prop_random,egt_prop_momentum,rolling_avg_reward,egt_avg,drl_profit_change,egt_change
0,13.24855894798435,100001.09999999999,100001.09999999999,3,0.4,1.0,0.47409999999559077,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.47409999999559077,0.25,0.0,0.0
1,13.152226776884772,100001.81100348667,100001.81100348667,3,0.2,1.0,0.24745672166774807,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.3607783608316694,0.25,0.7110034866782371,0.0
2,13.337785433712192,100002.66767945714,100002.66767945714,0,0.4,1.0,0.41422128751657145,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.3785926697266368,0.25,0.8566759704699507,0.0
3,13.412930204402091,100002.66767945714,100002.66767945714,0,0.8,1.0,0.002,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2844445022949776,0.25,0.0,0.0
4,13.457409970206744,100003.66767945712,100003.66767945712,-6,0.4,1.0,0.4067998666122366,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.3089155751584294,0.25,0.9999999999854481,0.0
5,13.437337163704147,100004.02811629615,100004.02811629615,-7,0.4066666666666667,1.0,0.1451005376104173,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.28161306890042737,0.25,0.36043683902244084,0.0
6,13.578200263645309,100003.46493173942,100003.46493173942,-7,0.4228571428571428,1.0,-0.3309623734367899,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.19410229142368204,0.25,-0.5631845567259006,0.0
7,13.403179860219947,100004.97578884913,100004.97578884913,-3,0.2114285714285714,1.0,0.7309540072322066,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2612087558997476,0.25,1.510857109708013,0.0
8,13.105004953429761,100006.27031356948,100006.27031356948,1,0.4,1.0,0.6183346617267164,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.30088941210274417,0.25,1.2945247203460895,0.0
9,12.923503236873083,100006.08881185293,100006.08881185293,1,0.8,1.0,-0.09385830995767085,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.26141463989670266,0.25,-0.18150171654997393,0.0
10,12.88598293661811,100006.85129155267,100006.85129155267,1,0.8,1.0,0.3644520162533907,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.270781674110947,0.25,0.762479699740652,0.0
11,13.196748243535714,100008.16205685957,100008.16205685957,-1,0.4,1.0,0.60473603099445,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2986112038512389,0.25,1.3107653069018852,0.0
